             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
   131.247.67.45|     6|     2016-03-04 16:03:21|     2016-03-04 16:03:27|        61|       630|    186941|
   131.247.67.45|     6|     2016-03-04 16:03:28|     2016-03-04 16:03:36|        32|       505|     57433|
   131.247.67.45|     6|     2016-03-04 16:03:36|     2016-03-04 16:03:45|        63|      1060|    842792|
   131.247.67.45|     6|     2016-03-04 16:03:41|     2016-03-04 16:03:52|        35|      2936|   3676718|
   131.247.67.45|     6|     2016-03-04 16:03:52|     2016-03-04 16:03:59|        39|       373|     45417|
   131.247.67.45|     6|     2016-03-04 16:03:39|     2016-03-04 16:03:59|        41|      5222|   7224512|
   131.247.67.45|     6|     2016-03-04 16:04:08|     2016-03-04 16:04:16|        40|       644|     88505|
   131.247.67.45|     6|     2016-03-04 16:05:37|     2016-03-04 16:05:45|        35|       342|     47066|
   131.247.67.45|     6|     2016-03-04 16:05:38|     2016-03-04 16:05:45|        32|       253|     58379|
   131.247.67.45|     6|     2016-03-04 16:06:37|     2016-03-04 16:06:49|        67|      1383|    566670|
   131.247.67.45|     6|     2016-03-04 16:06:43|     2016-03-04 16:06:57|        69|       832|    168660|
   131.247.67.45|     6|     2016-03-04 16:07:46|     2016-03-04 16:07:53|        57|     10960|  15149483|
   131.247.67.45|     6|     2016-03-04 16:10:10|     2016-03-04 16:10:17|        34|       607|    411524|
   131.247.67.45|     6|     2016-03-04 16:10:20|     2016-03-04 16:10:33|        51|      2924|    255605|
   131.247.67.45|     6|     2016-03-04 16:10:33|     2016-03-04 16:10:41|        49|       402|     76868|
   131.247.67.45|     6|     2016-03-04 16:11:38|     2016-03-04 16:11:44|        35|       266|     37757|
   131.247.67.45|     6|     2016-03-04 16:12:14|     2016-03-04 16:12:25|        32|      2592|   1770063|
   131.247.67.45|     6|     2016-03-04 16:16:02|     2016-03-04 16:16:10|        32|       691|    439184|
   131.247.67.45|     6|     2016-03-04 16:16:03|     2016-03-04 16:16:10|        37|       775|    453422|
   131.247.67.45|     6|     2016-03-04 16:20:58|     2016-03-04 16:21:07|        36|       460|     70424|
   131.247.67.45|     6|     2016-03-04 16:22:43|     2016-03-04 16:22:51|        35|       537|    119445|
   131.247.67.45|     6|     2016-03-04 16:26:11|     2016-03-04 16:26:19|        74|      2734|   2593088|
   131.247.67.45|     6|     2016-03-04 16:26:43|     2016-03-04 16:26:51|        34|       729|    645217|
   131.247.67.45|     6|     2016-03-04 16:26:44|     2016-03-04 16:26:49|        32|       360|    189401|
   131.247.67.45|     6|     2016-03-04 16:31:03|     2016-03-04 16:31:15|        42|      3924|   4860955|
   131.247.67.45|     6|     2016-03-04 16:31:15|     2016-03-04 16:31:23|        40|       461|     48141|
   131.247.67.45|     6|     2016-03-04 16:31:24|     2016-03-04 16:31:32|        53|       541|     78924|
   131.247.67.45|     6|     2016-03-04 16:31:38|     2016-03-04 16:31:48|       100|      1143|    342069|
   131.247.67.45|     6|     2016-03-04 16:31:48|     2016-03-04 16:31:55|        33|       365|     97445|
   131.247.67.45|     6|     2016-03-04 16:31:47|     2016-03-04 16:31:56|        89|      1360|    885782|
   131.247.67.45|     6|     2016-03-04 16:31:55|     2016-03-04 16:32:03|        38|       342|     46518|
   131.247.67.45|     6|     2016-03-04 16:32:03|     2016-03-04 16:32:11|       121|      1100|    137642|
   131.247.67.45|     6|     2016-03-04 16:32:11|     2016-03-04 16:32:20|        99|      1033|    240182|
   131.247.67.45|     6|     2016-03-04 16:32:18|     2016-03-04 16:32:27|        68|      2410|   2288003|
   131.247.67.45|     6|     2016-03-04 16:32:28|     2016-03-04 16:32:36|        33|       346|     79195|
   131.247.67.45|     6|     2016-03-04 16:32:28|     2016-03-04 16:32:36|        50|       473|     82047|
   131.247.67.45|     6|     2016-03-04 16:32:36|     2016-03-04 16:32:44|        39|       408|     67329|
   131.247.67.45|     6|     2016-03-04 16:32:36|     2016-03-04 16:32:44|        40|       417|     51467|
   131.247.67.45|     6|     2016-03-04 16:32:43|     2016-03-04 16:32:51|        62|       678|    131067|
   131.247.67.45|     6|     2016-03-04 16:32:53|     2016-03-04 16:32:59|        32|       342|     43391|
   131.247.67.45|     6|     2016-03-04 16:33:02|     2016-03-04 16:33:14|        41|       633|    159152|
   131.247.67.45|     6|     2016-03-04 16:33:01|     2016-03-04 16:33:16|        62|       938|    287753|
   131.247.67.45|     6|     2016-03-04 16:33:16|     2016-03-04 16:33:24|        44|       368|     45114|
   131.247.67.45|     6|     2016-03-04 16:33:25|     2016-03-04 16:33:31|        39|       398|     55236|
   131.247.67.45|     6|     2016-03-04 16:34:12|     2016-03-04 16:34:20|        46|       504|    101471|
   131.247.67.45|     6|     2016-03-04 16:34:12|     2016-03-04 16:34:28|        33|       886|    272163|
   131.247.67.45|     6|     2016-03-04 16:34:44|     2016-03-04 16:34:52|        33|       402|     66232|
   131.247.67.45|     6|     2016-03-04 16:37:48|     2016-03-04 16:37:56|        56|       487|     80965|
   131.247.67.45|     6|     2016-03-04 16:38:20|     2016-03-04 16:38:28|        64|       727|    145055|
   131.247.67.45|     6|     2016-03-04 16:38:22|     2016-03-04 16:38:27|        34|       411|    230358|
   131.247.67.45|     6|     2016-03-04 16:38:30|     2016-03-04 16:38:44|        57|       783|    112961|
   131.247.67.45|     6|     2016-03-04 16:38:52|     2016-03-04 16:39:01|        66|       992|    501170|
   131.247.67.45|     6|     2016-03-04 16:40:29|     2016-03-04 16:40:36|        43|       647|    205470|
   131.247.67.45|     6|     2016-03-04 16:40:52|     2016-03-04 16:41:01|        33|       461|    131814|
   131.247.67.45|     6|     2016-03-04 16:41:01|     2016-03-04 16:41:08|        34|       595|    544551|
   131.247.67.45|     6|     2016-03-04 16:42:24|     2016-03-04 16:42:37|        36|       658|    206721|
   131.247.67.45|     6|     2016-03-04 16:42:45|     2016-03-04 16:43:01|        52|       669|    133107|
   131.247.67.45|     6|     2016-03-04 16:44:28|     2016-03-04 16:44:37|        39|       738|    125908|
   131.247.67.45|     6|     2016-03-04 16:44:29|     2016-03-04 16:44:37|        58|      1107|    244265|
   131.247.67.45|     6|     2016-03-04 16:44:29|     2016-03-04 16:44:45|       141|      2273|    802981|
   131.247.67.45|     6|     2016-03-04 16:44:45|     2016-03-04 16:44:53|        42|       641|    150973|
   131.247.67.45|     6|     2016-03-04 16:45:25|     2016-03-04 16:45:33|        48|       476|     79760|
   131.247.67.45|     6|     2016-03-04 16:46:13|     2016-03-04 16:46:21|        37|       933|    836948|
   131.247.67.45|     6|     2016-03-04 16:49:49|     2016-03-04 16:49:57|        49|       453|     53298|
   131.247.67.45|     6|     2016-03-04 16:49:50|     2016-03-04 16:49:56|        40|       374|     52782|
   131.247.67.45|     6|     2016-03-04 16:50:22|     2016-03-04 16:50:30|        33|       396|     98873|
